"address","name","chain","fee"
"0xad18575b0e51dd056e1e082223c0e014cbfe4b13bc55e92f450585884f4cf951","CAKE","APT",0.01
"0x37a645648df29205c6261289983fb04ecd70b4b3","ANIME","ARBITRUM",21.0
"0xfdffb411c4a70aa7c95d5c981a6fb4da867e1111","SAHARA","BSC",0.2
"0xf55bec9cafdbe8730f096aa55dad6d22d44099df","USDT","SCROLL",0.1
"0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd","JOE","AVAXC",0.68
"0x0b7007c13325c48911f73a2dad5fa5dcbf808adc","USDC","RON",0.2
"Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB","USDT","SOL",0.6
"BABY_BABY","BABY","BABY",0.01
"3jUf2RTyXp867piSB2dt8uUcNiLDW58asjGtXkRAkBbe","GUN","SOL",25.0
"GLMR_GLMR","GLMR","GLMR",0.02
"0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7","GHST","MATIC",0.014
"0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377","MBOX","BSC",0.29
"0x101d82428437127bf1608f699cd651e6abf9766e","BAT","BSC",0.11
"EGLD_EGLD","EGLD","EGLD",0.0008
"ARK_ARK","ARK","ARK",0.3
"USDC_HBAR","USDC","HBAR",0.1
"OM_MANTRA","OM","MANTRA",0.01
"0x69eb4fa4a2fbd498c257c57ea8b7655a2559a581","DODO","ARBITRUM",4.83
"BZLbGTNCSFfoth2GYDtwr7e4imWzpR5jqcUuGEwr646K","IO","SOL",1.03
"0x405fbc9004d857903bfd6b3357792d71a50726b0","XPL","BSC",0.1
"0x67b725d7e342d7b611fa85e859df9697d9378b2e","SAND","BSC",0.061
"0xa1e6c58d503e4eee986167f45a063853cefe08c3","SUN","BSC",0.71
"GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN","USDC","XLM",1.0
"0xd29687c813d741e2f938f4ac377128810e217b1b","SCR","SCROLL",0.2
"0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","USDC","MATIC",0.011
"AVAX_AVAXC","AVAX","AVAXC",0.004
"0x94b008aa00579c1307b0ef2c499ad98a8ce58e58","USDT","OPTIMISM",0.039
"0xf0151f528127558851b39c2cd8aa47da7418ab28","FLM","NEO3",2.9
"0xaf88d065e77c8cc2239327c5edb3a432268e5831","USDC","ARBITRUM",0.2
"0xa2b726b1145a4773f68593cf171187d8ebe4d495","INJ","BSC",0.0013
"EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp","FIDA","SOL",7.13
"0x6985884c4392d348587b19cb9eaaf157f13271cd","ZRO","AVAXC",0.048
"0x000ae314e2a2172a039b26378814c252734f556a","ASTER","BSC",0.033
"0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2","DODO","BSC",1.08
"JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN","JUP","SOL",1.31
"FLOW_FLOW","FLOW","FLOW",0.0001
"0x2cfc85d8e48f8eab294be644d9e25c3030863003","WLD","WLD",0.06
"jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL","JTO","SOL",0.36
"REI_REI","REI","REI",0.03
"0x668db7aa38eac6b40c9d13dbe61361dc4c4611d1","MDT","BSC",0.6
"0x0f81001ef0a83ecce5ccebf63eb302c70a39a654","DOLO","ARBITRUM",2.3
"0xbdeae1ca48894a1759a8374d63925f21f2ee2639","EDU","BSC",0.18
"0x4d9eab13620fe3569ba3b0e56e2877739e4145e3","FLM","NEO",0.0
"9zNQRsGLjNKwCUU5Gq5LR8beUCPzQMVMqKAi3SSZh54u","FDUSD","SOL",0.5
"EQCxE6mUtQJKFnGfaROTKOt1lZbDiiX1kCixRv7Nw2Id_sDs","USDT","TONMEMO",0.3
"0x18e37f96628db3037d633fe4d469fb1933a63c5b","MBL","BSC",7.67
"0x4bfaa776991e85e5f8b1255461cbbd216cfc714f","HOME","BSC",0.42
"0x99e3de3817f6081b2568208337ef83295b7f591d","HEMI","HEMI",1.0
"0x430ef9263e76dae63c84292c3409d61c598e9682","PYR","MATIC",0.0062
"0x9f589e3eabe42ebc94a44727b3f3531c0c877809","TKO","BSC",0.1
"0x462cd9e0247b2e63831c3189ae738e5e9a5a4b64","EUL","ARBITRUM",0.01
"0xbf5140a22578168fd562dccf235e5d43a02ce9b1","UNI","BSC",0.0016
"7i5KKsX2weiTkry7jA4ZwSuXGhs5eJBEjY8vVxR4pfRx","GMT","SOL",15.0
"2Dyzu65QA9zdX1UeE7Gx71k7fiwyUK6sZdrvJ7auq5wm","TURBO","SOL",322.0
"0xa697e272a73744b343528c3bc4702f2565b2f422","BONK","BSC",6000.0
"0xd077a400968890eacc75cdc901f0356c943e4fdb","USDT","KAIA",0.005
"0xdaf1695c41327b61b9b9965ac6a5843a3198cf07","STO","BSC",0.2
"0x602c79718b16e442de58778e148d0b1084e3b2dffd5de6b7b16cee7969282de7","GAS","NEO",0.0
"WAN_WAN","WAN","WAN",0.005
"ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82","BOME","SOL",353.0
"0x3d9be0ac1001cd81c32464276d863d2ffdca4967","HAEDAL","BSC",0.14
"0xa069008a669e2af00a86673d9d584cfb524a42cc","BNT","BSC",0.022
"0x0fd0288aaae91eaf935e2ec14b23486f86516c8c","C98","VIC",1.0
"IOST_IOST","IOST","IOST",0.0001
"0xe5417af564e4bfda1c483642db72007871397896","GNS","MATIC",0.0031
"0xda0a57b710768ae17941a9fa33f8b720c8bd9ddd","POND","ARBITRUM",23.0
"0x715d400f88c167884bbcc41c5fea407ed4d2f8a0","AXS","BSC",0.0074
"everipediaiq","IQ","EOS",50.0
"0x20d6015660b3fe52e6690a889b5c51f69902ce0e","GIGGLE","BSC",0.00026
"0x19ca0f4adb29e2130a56b9c9422150b5dc07f294","OG","CHZ2",0.0
"0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413","1000CHEEMS","BSC",23.0
"EQCvxJy4eG8hyHBFsZ7eePxrRsUQSFE_jpptRAYBmcG_DOGS","DOGS","TON",100.0
"0x6401b29f40a02578ae44241560625232a01b3f79","CITY","CHZ2",0.0
"TFUEL_THETA","TFUEL","THETA",2.8
"RUNE_RUNE","RUNE","RUNE",0.1
"0x92516e0ddf1ddbf7fab1b79cac26689fdc5ba8e6","HUMA","BSC",1.26
"0x070a08beef8d36734dd67a491202ff35a6a16d97","SLP","BSC",10.0
"DOT_DOT","DOT","DOT",0.08
"17208628f84f5d6ad33f0da3bbbeb27ffcb398eac501a31bd6ad2011e36133a1","USDC","NEAR",0.2
"FQgtfugBdpFN7PZ6NdPrZpVLDBrPGxXesi4gVu3vErhY","BMT","SOL",18.0
"0xf16e6b723f242ec745dfd7634ad072c42d5c1d9ac9d62a39c381303eaa57693a::fdusd::FDUSD","FDUSD","SUI",0.2
"ETH_BASE","ETH","BASE",5e-05
"3joMReCCSESngJEpFLoKR2dNcChjSRCDtybQet5uSpse","1000CAT","SOL",80.0
"LTC_LTC","LTC","LTC",0.0001
"0x912ce59144191c1204e64559fe8253a0e49e6548","ARB","ARBITRUM",0.43
"VANA_VANA","VANA","VANA",0.001
"0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3","TUT","BSC",1.55
"0x696f9436b67233384889472cd7cd58a6fb5df4f1","AVNT","BASE",1.0
"TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9","JST","TRX",50.0
"0x4b948d64de1f71fcd12fb586f4c776421a35b3ee","0G","BSC",0.023
"DYDX_DYDX","DYDX","DYDX",0.01
"0x29219dd400f2bf60e5a23d13be72b486d4038894","USDC","SONIC",0.01
"0xaf48b7e315a52518cfbf7d96c455d9dfad94cb48","IOST","BSC",14.0
"0xf8f173e20e15f3b6cb686fb64724d370689de083","HEI","BSC",0.04
"MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u","ME","SOL",1.67
"BCH_BCH","BCH","BCH",0.0002
"0x66fd8de541c0594b4dccdfc13bf3a390e50d3afd","TURTLE","BSC",0.25
"STRAX_STRAX","STRAX","STRAX",0.01
"0x23ee2343b892b1bb63503a4fabc840e0e2c6810f","AXL","ARBITRUM",0.7
"0xd691d9a68c887bdf34da8c36f63487333acfd103","MAV","BSC",0.95
"0x9623063377ad1b27544c965ccd7342f7ea7e88c7","GRT","ARBITRUM",2.36
"KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS","KMNO","SOL",11.0
"rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof","RENDER","SOL",0.32
"0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34","USDE","BSC",1.0
"e5a49d7fd57e7178e189d3965d1ee64368a1036d","MBL","ONT",4.9
"0x02dd18e4981da3fc7363fe56f3b81d1860b44ea7","SCRT","BSC",0.095
"0xe9506f70be469d2369803ccf41823713bafe8154","ATM","CHZ2",0.0
"CCDfDXZxzZtkZLuhY48gyKdXc5KywqpR8xEVHHh8ck1G","CGPT","SOL",7.1
"0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b","KNC","BSC",0.044
"0x688aee022aa544f150678b8e5720b6b96a9e9a2f","SYRUP","BASE",0.94
"0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82","CAKE","BSC",0.013
"5f16d1545a0881f971b164f1601cbbf51c29efd0633b2730da18c403c3b428b5","CHR","CHR",1.0
"0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce","BEAMX","BSC",2.3
"0x0112e557d400474717056c4e6d40edd846f38351","PHA","BSC",0.14
"HBAR_HBAR","HBAR","HBAR",0.06
"0x20de22029ab63cf9a7cf5feb2b737ca1ee4c82a6","CHESS","BSC",0.24
"0xa1434f1fc3f437fa33f7a781e041961c0205b5da","QKC","BSC",2.45
"0x4a9a2b2b04549c3927dd2c9668a5ef3fca473623","DF","BSC",1.84
"0xaff9084f2374585879e8b434c399e29e80cce635","FLUX","BSC",0.084
"0x7aafd31a321d3627b30a8e2171264b56852187fe","MIRA","BASE",1.42
"DOGE_DOGE","DOGE","DOGE",4.0
"0xf2b51cc1850fed939658317a22d73d3482767591","NXPC","BSC",0.022
"0x7d814b9ed370ec0a502edc3267393bf62d891b62","BMT","BSC",0.24
"0xc40c9a843e1c6d01b7578284a9028854f6683b1b","JUV","BSC",0.0
"HIVE_HIVE","HIVE","HIVE",0.01
"0x80d5f92c2c8c682070c95495313ddb680b267320","ASR","BSC",0.02
